Journal,ISSN,eISSN,Category,IF,Quartile,Rank,Open_Access,Edition
MEMORIAS DO INSTITUTO OSWALDO CRUZ,0074-0276,1678-8060,TROPICAL MEDICINE,2.8,Q2, 10/24 ,95.81%,SCIE
INTERNATIONAL UROLOGY AND NEPHROLOGY,0301-1623,1573-2584,UROLOGY & NEPHROLOGY,2.0,Q3, 61/88 ,13.30%,SCIE
Environment and Planning B-Urban Analytics and City Science,2399-8083,2399-8091,URBAN STUDIES,3.5,Q2, 13/43 ,17.35%,SSCI
AMERICAN JOURNAL OF NEPHROLOGY,0250-8095,1421-9670,UROLOGY & NEPHROLOGY,4.2,Q1, 19/88 ,21.40%,SCIE
EUROPEAN PLANNING STUDIES,0965-4313,1469-5944,URBAN STUDIES,2.8,Q3, 22/43 ,27.16%,SSCI
JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE,1075-5535,1557-7708,INTEGRATIVE & COMPLEMENTARY MEDICINE,2.6,Q3, 16/28 ,8.46%,SCIE
COMPLEMENTARY THERAPIES IN MEDICINE,0965-2299,1873-6963,INTEGRATIVE & COMPLEMENTARY MEDICINE,3.6,Q2, 10/28 ,50.19%,SCIE
INTERNATIONAL STUDIES QUARTERLY,0020-8833,1468-2478,INTERNATIONAL RELATIONS,2.6,Q1, 24/96 ,19.59%,SSCI
Microfluidics and Nanofluidics,1613-4982,1613-4990,INSTRUMENTS & INSTRUMENTATION,2.8,Q2, 28/63 ,11.86%,SCIE
Journal of Sensors,1687-725X,1687-7268,INSTRUMENTS & INSTRUMENTATION,1.9,Q3, 44/63 ,99.05%,SCIE
JOURNAL OF ADVANCED TRANSPORTATION,0197-6729,2042-3195,TRANSPORTATION SCIENCE & TECHNOLOGY,2.3,Q3, 26/40 ,99.27%,SCIE
AMERICAN JOURNAL OF CHINESE MEDICINE,0192-415X,1793-6853,INTEGRATIVE & COMPLEMENTARY MEDICINE,5.7,Q1, 3/28 ,1.99%,SCIE
Clinical Kidney Journal,2048-8505,2048-8513,UROLOGY & NEPHROLOGY,4.6,Q1, 17/88 ,92.21%,SCIE
INTERNATIONAL JOURNAL OF UROLOGY,0919-8172,1442-2042,UROLOGY & NEPHROLOGY,2.6,Q3, 45/88 ,9.24%,SCIE
Kidney International Reports,2468-0249,2468-0249,UROLOGY & NEPHROLOGY,6.0,Q1, 11/88 ,91.65%,SCIE
EMERGING MARKETS FINANCE AND TRADE,1540-496X,1558-0938,INTERNATIONAL RELATIONS,4.0,Q1, 11/96 ,1.84%,SSCI
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,0194-4363,1939-0130,URBAN STUDIES,5.6,Q1, 6/43 ,19.59%,SSCI
RENAL FAILURE,0886-022X,1525-6049,UROLOGY & NEPHROLOGY,3.0,Q2, 33/88 ,96.75%,SCIE
JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,0022-0434,1528-9028,INSTRUMENTS & INSTRUMENTATION,1.7,Q3, 46/63 ,0.91%,SCIE
ASIAN JOURNAL OF ANDROLOGY,1008-682X,1745-7262,UROLOGY & NEPHROLOGY,2.9,Q2, 38/88 ,91.07%,SCIE
WORLD POLITICS,0043-8871,1086-3338,INTERNATIONAL RELATIONS,5.0,Q1, 4/96 ,0%,SSCI
Asian Pacific Journal of Tropical Biomedicine,2221-1691,2588-9222,TROPICAL MEDICINE,1.7,Q3, 18/24 ,95.08%,SCIE
REGIONAL SCIENCE AND URBAN ECONOMICS,0166-0462,1879-2308,URBAN STUDIES,3.1,Q2, 17/43 ,10.31%,SSCI
Journal of Pediatric Urology,1477-5131,1873-4898,UROLOGY & NEPHROLOGY,2.0,Q3, 61/88 ,4.14%,SCIE
URBAN GEOGRAPHY,0272-3638,1938-2847,URBAN STUDIES,3.8,Q2, 11/43 ,23.24%,SSCI
JOURNAL OF NEPHROLOGY,1121-8428,1724-6059,UROLOGY & NEPHROLOGY,3.4,Q2, 26/88 ,27.37%,SCIE
Infectious Diseases of Poverty,2095-5162,2049-9957,TROPICAL MEDICINE,8.1,Q1, 1/24 ,100%,SCIE
FOREIGN AFFAIRS,0015-7120,,INTERNATIONAL RELATIONS,7.5,Q1, 2/96 ,0%,SSCI
WORLD ECONOMY,0378-5920,1467-9701,INTERNATIONAL RELATIONS,2.5,Q2, 25/96 ,15.57%,SSCI
INTERNATIONAL SECURITY,0162-2889,1531-4804,INTERNATIONAL RELATIONS,5.0,Q1, 4/96 ,13.21%,SSCI
NEPHRON,1660-8151,2235-3186,UROLOGY & NEPHROLOGY,2.5,Q3, 51/88 ,11.94%,SCIE
JOURNAL OF CHEMOMETRICS,0886-9383,1099-128X,INSTRUMENTS & INSTRUMENTATION,2.4,Q3, 36/63 ,20.81%,SCIE
European Urology Focus,,2405-4569,UROLOGY & NEPHROLOGY,5.4,Q1, 13/88 ,8.40%,SCIE
NEPHROLOGY,1320-5358,1440-1797,UROLOGY & NEPHROLOGY,2.5,Q3, 51/88 ,10.67%,SCIE
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,0954-4070,2041-2991,TRANSPORTATION SCIENCE & TECHNOLOGY,1.7,Q4, 31/40 ,2.23%,SCIE
INTERNATIONAL AFFAIRS,0020-5850,1468-2346,INTERNATIONAL RELATIONS,4.5,Q1, 7/96 ,29.18%,SSCI
JCMS-Journal of Common Market Studies,0021-9886,1468-5965,INTERNATIONAL RELATIONS,2.2,Q2, 34/96 ,42.06%,SSCI
METROLOGIA,0026-1394,1681-7575,INSTRUMENTS & INSTRUMENTATION,2.4,Q3, 36/63 ,32.62%,SCIE
PROSTATE CANCER AND PROSTATIC DISEASES,1365-7852,1476-5608,UROLOGY & NEPHROLOGY,4.8,Q1, 15/88 ,25.13%,SCIE
PERITONEAL DIALYSIS INTERNATIONAL,0896-8608,1718-4304,UROLOGY & NEPHROLOGY,2.8,Q2, 40/88 ,15.06%,SCIE
Asian Pacific Journal of Tropical Medicine,1995-7645,2352-4146,TROPICAL MEDICINE,3.1,Q2, 7/24 ,98.82%,SCIE
Translational Andrology and Urology,2223-4683,2223-4691,UROLOGY & NEPHROLOGY,2.0,Q3, 61/88 ,99.46%,SCIE
HOUSING STUDIES,0267-3037,1466-1810,URBAN STUDIES,3.2,Q2, 16/43 ,27.90%,SSCI
SEMINARS IN NEPHROLOGY,0270-9295,1558-4488,UROLOGY & NEPHROLOGY,3.3,Q2, 28/88 ,2.86%,SCIE
Chinese Journal of Natural Medicines,2095-6975,1875-5364,INTEGRATIVE & COMPLEMENTARY MEDICINE,4.6,Q1, 7/28 ,0%,SCIE
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,1062-4821,1473-6543,UROLOGY & NEPHROLOGY,3.2,Q2, 29/88 ,6.36%,SCIE
Journal of Ginseng Research,1226-8453,2093-4947,INTEGRATIVE & COMPLEMENTARY MEDICINE,6.3,Q1, 2/28 ,98.45%,SCIE
Chinese Medicine,1749-8546,1749-8546,INTEGRATIVE & COMPLEMENTARY MEDICINE,4.9,Q1, 5/28 ,100%,SCIE
Clinical and Experimental Nephrology,1342-1751,1437-7799,UROLOGY & NEPHROLOGY,2.3,Q3, 56/88 ,25.81%,SCIE
TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,0142-3312,1477-0369,INSTRUMENTS & INSTRUMENTATION,1.8,Q3, 45/63 ,0.94%,SCIE
REVIEW OF INTERNATIONAL POLITICAL ECONOMY,0969-2290,1466-4526,INTERNATIONAL RELATIONS,4.3,Q1, 8/96 ,31.63%,SSCI
IET Intelligent Transport Systems,1751-956X,1751-9578,TRANSPORTATION SCIENCE & TECHNOLOGY,2.7,Q3, 23/40 ,44.16%,SCIE
Microsystems & Nanoengineering,2055-7434,2055-7434,INSTRUMENTS & INSTRUMENTATION,7.9,Q1, 2/63 ,99.71%,SCIE
FLOW MEASUREMENT AND INSTRUMENTATION,0955-5986,1873-6998,INSTRUMENTS & INSTRUMENTATION,2.2,Q3, 41/63 ,7.61%,SCIE
International Journal of Engine Research,1468-0874,2041-3149,TRANSPORTATION SCIENCE & TECHNOLOGY,2.5,Q3, 24/40 ,4.92%,SCIE
UROLOGIA INTERNATIONALIS,0042-1138,1423-0399,UROLOGY & NEPHROLOGY,1.6,Q4, 71/88 ,14.29%,SCIE
Chinese Journal of Integrative Medicine,1672-0415,1993-0402,INTEGRATIVE & COMPLEMENTARY MEDICINE,2.9,Q2, 13/28 ,0%,SCIE
Clinical Genitourinary Cancer,1558-7673,1938-0682,UROLOGY & NEPHROLOGY,3.2,Q2, 29/88 ,10.65%,SCIE
Revista da Sociedade Brasileira de Medicina Tropical,0037-8682,,TROPICAL MEDICINE,2.0,Q3, 15/24 ,97.51%,SCIE
BLOOD PURIFICATION,0253-5068,1421-9735,UROLOGY & NEPHROLOGY,3.0,Q2, 33/88 ,12.40%,SCIE
Chemosensors,,2227-9040,INSTRUMENTS & INSTRUMENTATION,4.2,Q2, 17/63 ,99.32%,SCIE
Smart Structures and Systems,1738-1584,1738-1991,INSTRUMENTS & INSTRUMENTATION,3.5,Q2, 22/63 ,0%,SCIE
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,0161-4754,,INTEGRATIVE & COMPLEMENTARY MEDICINE,1.3,Q4, 25/28 ,0.89%,SCIE
INTEGRATIVE CANCER THERAPIES,1534-7354,1552-695X,INTEGRATIVE & COMPLEMENTARY MEDICINE,2.9,Q2, 13/28 ,92.41%,SCIE
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,0954-4097,2041-3017,TRANSPORTATION SCIENCE & TECHNOLOGY,2.0,Q3, 30/40 ,8.86%,SCIE
Complementary Therapies in Clinical Practice,1744-3881,1873-6947,INTEGRATIVE & COMPLEMENTARY MEDICINE,3.0,Q2, 12/28 ,10.42%,SCIE
INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,0955-9930,1476-5489,UROLOGY & NEPHROLOGY,2.6,Q3, 45/88 ,8.29%,SCIE
APPLIED SPECTROSCOPY REVIEWS,0570-4928,1520-569X,INSTRUMENTS & INSTRUMENTATION,6.1,Q1, 7/63 ,9.85%,SCIE
Kidney International Supplements,2157-1724,2157-1716,UROLOGY & NEPHROLOGY,5.5,Q1, 12/88 ,0%,SCIE
Local Environment,1354-9839,1469-6711,URBAN STUDIES,2.4,Q3, 26/43 ,22.01%,SSCI
IEEE Vehicular Technology Magazine,1556-6072,1556-6080,TRANSPORTATION SCIENCE & TECHNOLOGY,8.1,Q1, 7/40 ,6.92%,SCIE
JOURNAL OF PLANNING EDUCATION AND RESEARCH,0739-456X,1552-6577,URBAN STUDIES,2.2,Q3, 30/43 ,7.11%,SSCI
ENVIRONMENT AND URBANIZATION,0956-2478,1746-0301,URBAN STUDIES,3.7,Q2, 12/43 ,37.93%,SSCI
URBAN EDUCATION,0042-0859,1552-8340,URBAN STUDIES,2.3,Q3, 28/43 ,1.78%,SSCI
EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,1354-0661,1460-3713,INTERNATIONAL RELATIONS,3.4,Q1, 15/96 ,37.95%,SSCI
ADVANCES IN CHRONIC KIDNEY DISEASE,1548-5595,1548-5609,UROLOGY & NEPHROLOGY,2.9,Q2, 38/88 ,3.21%,SCIE
JOURNAL OF RENAL NUTRITION,1051-2276,1532-8503,UROLOGY & NEPHROLOGY,3.2,Q2, 29/88 ,9.46%,SCIE
IEEE Transactions on Intelligent Vehicles,2379-8858,2379-8904,TRANSPORTATION SCIENCE & TECHNOLOGY,8.2,Q1, 6/40 ,6.97%,SCIE
SEMINARS IN DIALYSIS,0894-0959,1525-139X,UROLOGY & NEPHROLOGY,1.6,Q4, 71/88 ,6.83%,SCIE
Journal of Traditional Chinese Medicine,0255-2922,1577-7014,INTEGRATIVE & COMPLEMENTARY MEDICINE,2.6,Q3, 16/28 ,0%,SCIE
KIDNEY & BLOOD PRESSURE RESEARCH,1420-4096,1423-0143,UROLOGY & NEPHROLOGY,2.8,Q2, 40/88 ,99.16%,SCIE
REVIEW OF INTERNATIONAL STUDIES,0260-2105,1469-9044,INTERNATIONAL RELATIONS,3.0,Q1, 20/96 ,44.30%,SSCI
BMC Complementary Medicine and Therapies,,2662-7671,INTEGRATIVE & COMPLEMENTARY MEDICINE,3.9,Q2, 9/28 ,99.19%,SCIE
CLINICAL NEPHROLOGY,0301-0430,0301-0430,UROLOGY & NEPHROLOGY,1.1,Q4, 79/88 ,0%,SCIE
International Braz J Urol,1677-5538,1677-6119,UROLOGY & NEPHROLOGY,3.7,Q1, 22/88 ,94.72%,SCIE
Transportmetrica A-Transport Science,2324-9935,2324-9943,TRANSPORTATION SCIENCE & TECHNOLOGY,3.3,Q2, 20/40 ,14.13%,SCIE
European Urology Oncology,,2588-9311,UROLOGY & NEPHROLOGY,8.2,Q1, 8/88 ,13.51%,SCIE
BMC Urology,1471-2490,1471-2490,UROLOGY & NEPHROLOGY,2.0,Q3, 61/88 ,99.66%,SCIE
AMERICAN JOURNAL OF INTERNATIONAL LAW,0002-9300,2161-7953,INTERNATIONAL RELATIONS,4.3,Q1, 8/96 ,14.42%,SSCI
SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,0125-1562,0125-1562,TROPICAL MEDICINE,0.2,Q4, 24/24 ,0.42%,SCIE
JOURNAL OF TROPICAL PEDIATRICS,0142-6338,1465-3664,TROPICAL MEDICINE,2.0,Q3, 15/24 ,5.20%,SCIE
JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,0895-5638,1573-045X,URBAN STUDIES,1.9,Q4, 35/43 ,17.77%,SSCI
NEW POLITICAL ECONOMY,1356-3467,1469-9923,INTERNATIONAL RELATIONS,4.2,Q1, 10/96 ,32.08%,SSCI
URBAN AFFAIRS REVIEW,1078-0874,1552-8332,URBAN STUDIES,2.1,Q3, 32/43 ,8.33%,SSCI
Journal of Traditional and Complementary Medicine,2225-4110,2225-4110,INTEGRATIVE & COMPLEMENTARY MEDICINE,4.5,Q2, 8/28 ,95.63%,SCIE
Photoacoustics,2213-5979,2213-5979,INSTRUMENTS & INSTRUMENTATION,7.9,Q1, 2/63 ,88.57%,SCIE
CUAJ-Canadian Urological Association Journal,1911-6470,1920-1214,UROLOGY & NEPHROLOGY,1.9,Q4, 67/88 ,98.91%,SCIE
TERRORISM AND POLITICAL VIOLENCE,0954-6553,1556-1836,INTERNATIONAL RELATIONS,2.4,Q2, 29/96 ,15.63%,SSCI
Tropical Medicine and Infectious Disease,,2414-6366,TROPICAL MEDICINE,2.9,Q2, 9/24 ,99.75%,SCIE
JOURNAL OF URBAN AFFAIRS,0735-2166,1467-9906,URBAN STUDIES,2.1,Q3, 32/43 ,10.33%,SSCI
IEEE Intelligent Transportation Systems Magazine,1939-1390,1941-1197,TRANSPORTATION SCIENCE & TECHNOLOGY,3.6,Q2, 18/40 ,1.51%,SCIE
INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,1229-9138,1976-3832,TRANSPORTATION SCIENCE & TECHNOLOGY,1.6,Q4, 34/40 ,0%,SCIE
JOURNAL OF URBAN PLANNING AND DEVELOPMENT,0733-9488,1943-5444,URBAN STUDIES,2.5,Q3, 24/43 ,2.01%,SSCI
Studies in Conflict & Terrorism,1057-610X,1521-0731,INTERNATIONAL RELATIONS,2.0,Q2, 39/96 ,17.26%,SSCI
REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO,0036-4665,1678-9946,TROPICAL MEDICINE,1.9,Q3, 17/24 ,96.48%,SCIE
Actuators,,2076-0825,INSTRUMENTS & INSTRUMENTATION,2.6,Q2, 31/63 ,99.42%,SCIE
HOUSING POLICY DEBATE,1051-1482,2152-050X,URBAN STUDIES,2.9,Q2, 20/43 ,7.08%,SSCI
UROLOGIC CLINICS OF NORTH AMERICA,0094-0143,1558-318X,UROLOGY & NEPHROLOGY,2.4,Q3, 55/88 ,1.25%,SCIE
CURRENT OPINION IN UROLOGY,0963-0643,1473-6586,UROLOGY & NEPHROLOGY,2.5,Q3, 51/88 ,2.41%,SCIE
Current Urology Reports,1527-2737,1534-6285,UROLOGY & NEPHROLOGY,2.6,Q3, 45/88 ,9.29%,SCIE
Vehicular Communications,2214-2096,2214-2096,TRANSPORTATION SCIENCE & TECHNOLOGY,6.7,Q2, 12/40 ,10%,SCIE
European Journal of International Law,0938-5428,1464-3596,INTERNATIONAL RELATIONS,1.2,Q4, 73/96 ,15.82%,SSCI
SECURITY DIALOGUE,0967-0106,1460-3640,INTERNATIONAL RELATIONS,3.2,Q1, 18/96 ,39.13%,SSCI
Global Environmental Politics,1526-3800,1536-0091,INTERNATIONAL RELATIONS,4.8,Q1, 6/96 ,13.98%,SSCI
Journal of Intelligent Transportation Systems,1547-2450,1547-2442,TRANSPORTATION SCIENCE & TECHNOLOGY,3.6,Q2, 18/40 ,4.59%,SCIE
European Journal of Integrative Medicine,1876-3820,1876-3839,INTEGRATIVE & COMPLEMENTARY MEDICINE,2.5,Q3, 18/28 ,11.65%,SCIE
THERAPEUTIC APHERESIS AND DIALYSIS,1744-9979,1744-9987,UROLOGY & NEPHROLOGY,1.9,Q4, 67/88 ,9.64%,SCIE
Journal of Astronomical Telescopes Instruments and Systems,2329-4124,2329-4221,INSTRUMENTS & INSTRUMENTATION,2.3,Q3, 39/63 ,42.46%,SCIE
Globalizations,1474-7731,1474-774X,INTERNATIONAL RELATIONS,2.5,Q2, 25/96 ,20.80%,SSCI
JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,1044-677X,2165-7254,INSTRUMENTS & INSTRUMENTATION,1.5,Q4, 50/63 ,92.22%,SCIE
Hemodialysis International,1492-7535,1542-4758,UROLOGY & NEPHROLOGY,1.3,Q4, 76/88 ,10.21%,SCIE
SENSORS AND MATERIALS,0914-4935,0914-4935,INSTRUMENTS & INSTRUMENTATION,1.2,Q4, 54/63 ,97.75%,SCIE
International Studies Review,1521-9488,1468-2486,INTERNATIONAL RELATIONS,3.3,Q1, 16/96 ,21.47%,SSCI
DISPLAYS,0141-9382,1872-7387,INSTRUMENTS & INSTRUMENTATION,4.3,Q1, 15/63 ,4.85%,SCIE
Pathogens and Global Health,2047-7724,2047-7732,TROPICAL MEDICINE,3.4,Q1, 3/24 ,10.19%,SCIE
Surface Topography-Metrology and Properties,2051-672X,2051-672X,INSTRUMENTS & INSTRUMENTATION,2.7,Q2, 29/63 ,5.26%,SCIE
REAL ESTATE ECONOMICS,1080-8620,1540-6229,URBAN STUDIES,2.2,Q3, 30/43 ,9.77%,SSCI
eTransportation,2590-1168,2590-1168,TRANSPORTATION SCIENCE & TECHNOLOGY,11.9,Q1, 1/40 ,10.87%,SCIE
Global Policy,1758-5880,1758-5899,INTERNATIONAL RELATIONS,1.9,Q2, 43/96 ,27.99%,SSCI
Urolithiasis,2194-7228,2194-7236,UROLOGY & NEPHROLOGY,3.1,Q2, 32/88 ,19.58%,SCIE
JOURNAL OF URBAN TECHNOLOGY,1063-0732,1466-1853,URBAN STUDIES,4.8,Q1, 7/43 ,17.28%,SSCI
AUTOMATION AND REMOTE CONTROL,0005-1179,1608-3032,INSTRUMENTS & INSTRUMENTATION,0.7,Q4, 62/63 ,0.23%,SCIE
Acupuncture in Medicine,0964-5284,1759-9873,INTEGRATIVE & COMPLEMENTARY MEDICINE,2.5,Q3, 18/28 ,3.83%,SCIE
NEFROLOGIA,0211-6995,1989-2284,UROLOGY & NEPHROLOGY,2.6,Q3, 45/88 ,90%,SCIE
European Transport Research Review,1867-0717,1866-8887,TRANSPORTATION SCIENCE & TECHNOLOGY,4.3,Q2, 15/40 ,100%,SCIE
Journal of Housing and the Built Environment,1566-4910,1573-7772,URBAN STUDIES,1.9,Q4, 35/43 ,23.51%,SSCI
MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,0305-8298,1477-9021,INTERNATIONAL RELATIONS,2.5,Q2, 25/96 ,31.51%,SSCI
Minerva Urology and Nephrology,2724-6051,2724-6442,UROLOGY & NEPHROLOGY,4.9,Q1, 14/88 ,0.85%,SCIE
Journal of Integrative Medicine-JIM,2095-4964,2095-4964,INTEGRATIVE & COMPLEMENTARY MEDICINE,4.8,Q1, 6/28 ,10.67%,SCIE
JOURNAL OF HOUSING ECONOMICS,1051-1377,1096-0791,URBAN STUDIES,2.4,Q3, 26/43 ,5.50%,SSCI
EUROPEAN URBAN AND REGIONAL STUDIES,0969-7764,1461-7145,URBAN STUDIES,3.1,Q2, 17/43 ,36.05%,SSCI
Sexual Medicine Reviews,2050-0513,2050-0521,UROLOGY & NEPHROLOGY,3.6,Q2, 24/88 ,10.34%,SCIE
Planning Theory & Practice,1464-9357,1470-000X,URBAN STUDIES,3.9,Q1, 10/43 ,34.78%,SSCI
Aging Male,1368-5538,1473-0790,UROLOGY & NEPHROLOGY,2.6,Q3, 45/88 ,20.88%,SCIE
Review of International Organizations,1559-7431,1559-744X,INTERNATIONAL RELATIONS,3.9,Q1, 12/96 ,38.89%,SSCI
JOURNAL OF CONTEMPORARY ETHNOGRAPHY,0891-2416,1552-5414,URBAN STUDIES,1.6,Q4, 38/43 ,21.19%,SSCI
JOURNAL OF PLANNING LITERATURE,0885-4122,1552-6593,URBAN STUDIES,4.5,Q1, 9/43 ,18.18%,SSCI
NETWORKS & SPATIAL ECONOMICS,1566-113X,1572-9427,TRANSPORTATION SCIENCE & TECHNOLOGY,2.4,Q3, 25/40 ,20.34%,SCIE
World Journal of Mens Health,2287-4208,2287-4690,UROLOGY & NEPHROLOGY,4.8,Q1, 15/88 ,100%,SCIE
SECURITY STUDIES,0963-6412,1556-1852,INTERNATIONAL RELATIONS,1.8,Q2, 48/96 ,14.77%,SSCI
INTERNATIONAL REGIONAL SCIENCE REVIEW,0160-0176,1552-6925,URBAN STUDIES,2.3,Q3, 28/43 ,10.20%,SSCI
Journal of European Integration,0703-6337,1477-2280,INTERNATIONAL RELATIONS,2.9,Q1, 21/96 ,39.62%,SSCI
CONFLICT MANAGEMENT AND PEACE SCIENCE,0738-8942,1549-9219,INTERNATIONAL RELATIONS,2.1,Q2, 37/96 ,16.80%,SSCI
British Journal of Politics & International Relations,1369-1481,1467-856X,INTERNATIONAL RELATIONS,1.8,Q2, 48/96 ,42.51%,SSCI
City & Community,1535-6841,1540-6040,URBAN STUDIES,2.5,Q3, 24/43 ,7.14%,SSCI
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE,1078-6791,1078-6791,INTEGRATIVE & COMPLEMENTARY MEDICINE,1.5,Q4, 24/28 ,0%,SCIE
INTERNATIONAL INTERACTIONS,0305-0629,1547-7444,INTERNATIONAL RELATIONS,1.3,Q3, 65/96 ,18.88%,SSCI
PACIFIC REVIEW,0951-2748,1470-1332,INTERNATIONAL RELATIONS,2.1,Q2, 37/96 ,7.47%,SSCI
Transportation Letters-The International Journal of Transportation Research,1942-7867,1942-7875,TRANSPORTATION SCIENCE & TECHNOLOGY,2.8,Q3, 21/40 ,6.82%,SCIE
Explore-The Journal of Science and Healing,1550-8307,1878-7541,INTEGRATIVE & COMPLEMENTARY MEDICINE,2.4,Q3, 20/28 ,15.04%,SCIE
Journal of Venomous Animals and Toxins including Tropical Diseases,,1678-9199,TROPICAL MEDICINE,2.4,Q2, 12/24 ,95.35%,SCIE
Journal of Transportation Engineering Part A-Systems,2473-2907,2473-2893,TRANSPORTATION SCIENCE & TECHNOLOGY,2.1,Q3, 29/40 ,1.50%,SCIE
MEASUREMENT & CONTROL,0020-2940,2051-8730,INSTRUMENTS & INSTRUMENTATION,2.0,Q3, 43/63 ,90.32%,SCIE
Integrative Medicine Research,2213-4220,2213-4239,INTEGRATIVE & COMPLEMENTARY MEDICINE,3.4,Q2, 11/28 ,96.41%,SCIE
Sensor Review,0260-2288,1758-6828,INSTRUMENTS & INSTRUMENTATION,1.6,Q3, 47/63 ,5.59%,SCIE
Journal of Herbal Medicine,2210-8033,2210-8041,INTEGRATIVE & COMPLEMENTARY MEDICINE,2.3,Q3, 21/28 ,2.23%,SCIE
COMMON MARKET LAW REVIEW,0165-0750,1875-8320,INTERNATIONAL RELATIONS,2.3,Q2, 32/96 ,0%,SSCI
TROPICAL BIOMEDICINE,0127-5720,,TROPICAL MEDICINE,0.8,Q4, 20/24 ,0%,SCIE
STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT,0039-3606,1936-6167,INTERNATIONAL RELATIONS,2.7,Q1, 23/96 ,26.92%,SSCI
Sexual Medicine,,2050-1161,UROLOGY & NEPHROLOGY,2.6,Q3, 45/88 ,93.31%,SCIE
TRANSPORTATION PLANNING AND TECHNOLOGY,0308-1060,1029-0354,TRANSPORTATION SCIENCE & TECHNOLOGY,1.6,Q4, 34/40 ,8.96%,SCIE
INSIGHT,1354-2575,1754-4904,INSTRUMENTS & INSTRUMENTATION,1.1,Q4, 55/63 ,0%,SCIE
REVIEW OF WORLD ECONOMICS,1610-2878,1610-2886,INTERNATIONAL RELATIONS,1.7,Q3, 52/96 ,31.50%,SSCI
Urology Journal,1735-1308,1735-546X,UROLOGY & NEPHROLOGY,1.5,Q4, 73/88 ,0.36%,SCIE
Housing Theory & Society,1403-6096,1651-2278,URBAN STUDIES,3.1,Q2, 17/43 ,26.42%,SSCI
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,1094-6969,1941-0123,INSTRUMENTS & INSTRUMENTATION,2.1,Q3, 42/63 ,0%,SCIE
International Political Sociology,1749-5679,1749-5687,INTERNATIONAL RELATIONS,2.4,Q2, 29/96 ,30.77%,SSCI
Journal of X-Ray Science and Technology,0895-3996,1095-9114,INSTRUMENTS & INSTRUMENTATION,3.0,Q2, 27/63 ,6.30%,SCIE
EDUCATION AND URBAN SOCIETY,0013-1245,1552-3535,URBAN STUDIES,1.2,Q4, 40/43 ,2.75%,SSCI
Transport,1648-4142,1648-3480,TRANSPORTATION SCIENCE & TECHNOLOGY,1.7,Q4, 31/40 ,99.19%,SCIE
Cooperation and Conflict,0010-8367,1460-3691,INTERNATIONAL RELATIONS,2.0,Q2, 39/96 ,36%,SSCI
Photonic Sensors,1674-9251,2190-7439,INSTRUMENTS & INSTRUMENTATION,4.4,Q1, 14/63 ,100%,SCIE
Canadian Journal of Urology,1195-9479,,UROLOGY & NEPHROLOGY,1.5,Q4, 73/88 ,0%,SCIE
JOURNAL OF STRATEGIC STUDIES,0140-2390,1743-937X,INTERNATIONAL RELATIONS,1.9,Q2, 43/96 ,17.33%,SSCI
Cambridge Review of International Affairs,0955-7571,1474-449X,INTERNATIONAL RELATIONS,1.4,Q3, 62/96 ,14.84%,SSCI
PROGRES EN UROLOGIE,1166-7087,2405-5131,UROLOGY & NEPHROLOGY,1.1,Q4, 79/88 ,2.22%,SCIE
Kidney Research and Clinical Practice,2211-9132,2211-9140,UROLOGY & NEPHROLOGY,3.0,Q2, 33/88 ,100%,SCIE
Therapeutic Advances in Urology,1756-2872,1756-2880,UROLOGY & NEPHROLOGY,2.0,Q3, 61/88 ,95.04%,SCIE
TROPICAL DOCTOR,0049-4755,1758-1133,TROPICAL MEDICINE,0.6,Q4, 21/24 ,0.87%,SCIE
INTERNATIONAL JOURNAL,0020-7020,2052-465X,INTERNATIONAL RELATIONS,2.2,Q2, 34/96 ,33.70%,SSCI
Scandinavian Journal of Urology,2168-1805,2168-1813,UROLOGY & NEPHROLOGY,1.5,Q4, 73/88 ,36%,SCIE
INSTRUMENTS AND EXPERIMENTAL TECHNIQUES,0020-4412,1608-3180,INSTRUMENTS & INSTRUMENTATION,0.6,Q4, 63/63 ,4.49%,SCIE
